Unidade de Conservação ,NGI,GR,Incêndio (ha),Queima prescrita (ha),Queima controlada (ha),Aceiro (ha),Fogo natural (ha),Indígenas isolados (ha) ,Total Prevenção (ha) ,Total Combate (ha) ,Área TOTAL (ha),Área UC (ha),% de AAF na UC
PARNA do Pantanal Matogrossense,-,GR 3 - CENTRO-OESTE,"46.065,06","0,00","0,00","0,00","0,00","0,00","0,00","46.065,06","46.065,06","135.921,75","33,89"
PARNA do Rio Novo,UNA Itaituba,GR 1 - NORTE,"195,72","0,00","0,00","0,00","0,00","0,00","0,00","195,72","195,72","538.114,31","0,04"
PARNA dos Campos Amazônicos,Núcleo de Gestão Integrada - ICMBio Humaitá,GR 1 - NORTE,"34.350,75","18.643,97","0,00","0,00","0,00","0,00","18.643,97","34.350,75","52.994,72","961.313,69","5,51"
PARNA dos Campos Ferruginosos,Núcleo de Gestão Integrada - ICMBio Carajás,GR 1 - NORTE,"4.348,33","0,00","0,00","0,00","0,00","0,00","0,00","4.348,33","4.348,33","78.869,34","5,51"
PARNA dos Campos Gerais,Núcleo de Gestão Integrada - ICMBio Campos Gerais,GR 5 - SUL,"93,60","0,00","0,00","0,00","0,00","0,00","0,00","93,60","93,60","21.298,93","0,44"
PARNA do Viruá,Núcleo de Gestão Integrada - ICMBio Roraima,GR 1 - NORTE,"1.999,61","0,00","0,00","0,00","0,00","0,00","0,00","1.999,61","1.999,61","280.982,31","0,71"
PARNA e Histórico do Monte Pascoal,-,GR 2 - NORDESTE,"27,40","0,00","0,00","0,00","0,00","0,00","0,00","27,40","27,40","22.239,69","0,12"
PARNA Grande Sertão Veredas,-,GR 3 - CENTRO-OESTE,"2.322,63","1.244,29","0,00","0,00","0,00","0,00","1.244,29","2.322,63","3.566,93","230.853,28","1,55"
PARNA Mapinguari,Núcleo de Gestão Integrada - ICMBio Porto Velho,GR 1 - NORTE,"437,87","5.742,50","0,00","0,00","0,00","0,00","5.742,50","437,87","6.180,37","1.776.923,88","0,35"
PARNA Serra da Cutia,Núcleo de Gestão Integrada - ICMBio Guajará-Mirim,GR 1 - NORTE,"19.700,95","0,00","0,00","0,00","0,00","0,00","0,00","19.700,95","19.700,95","283.500,25","6,95"
REBIO da Contagem,Núcleo de Gestão Integrada - ICMBio Brasília-Contagem,GR 3 - CENTRO-OESTE,"1.113,40","603,29","0,00","0,00","0,00","0,00","603,29","1.113,40","1.716,69","3.411,69","50,32"
REBIO do Guaporé,Núcleo de Gestão Integrada - ICMBio Cautário-Guaporé,GR 1 - NORTE,"20.601,35","900,11","0,00","0,00","0,00","26.738,15","27.638,26","20.601,35","48.239,62","615.796,25","7,83"
REBIO do Gurupi,-,GR 1 - NORTE,"1.359,55","0,00","0,00","0,00","0,00","0,00","0,00","1.359,55","1.359,55","271.465,09","0,50"
REBIO do Jaru,-,GR 1 - NORTE,"267,23","0,00","0,00","0,00","0,00","0,00","0,00","267,23","267,23","346.861,28","0,08"
REBIO Nascentes da Serra do Cachimbo,UNA Itaituba,GR 1 - NORTE,"61.018,29","0,00","0,00","0,00","0,00","0,00","0,00","61.018,29","61.018,29","342.195,75","17,83"
RESEX Arapixi,Núcleo de Gestão Integrada - ICMBio Boca do Acre,GR 1 - NORTE,"220,34","0,00","0,00","0,00","0,00","0,00","0,00","220,34","220,34","133.706,00","0,16"
RESEX da Mata Grande,Núcleo de Gestão Integrada - ICMBio Imperatriz,GR 2 - NORDESTE,"62,28","0,00","0,00","0,00","0,00","0,00","0,00","62,28","62,28","11.431,60","0,54"
